Artist,Total Streams
"$hirak, Lil Kleine",34414303
"$igmund, Mio Dior",1196
"$kyhook, Morad",20826185
"-M-, Michel Legrand",194480
".Feast, Rayssa Dynta",6680548
"0-600, Neo Pistea, Coqeéin Montana",275630
"070 Shake, Jessie Reyez",3425
"070 Shake, Ralphy River, Hack & Tree",4809452
"1.Cuz, 4yye",348836
"1.Cuz, Aden",726653
"1.Cuz, Asme",1654009
"1.Cuz, Dree Low, Yei Gonzalez",587316
"1.Cuz, Einár, Dree Low",5316903
"1.Cuz, Einár, Matte Caliste",1130444
"1.Cuz, Einár, Yei Gonzalez",5640077
"1.Cuz, Greekazo, Yei Gonzalez",19175015
"1.Cuz, Luk G, Yei Gonzalez",848209
"100 Blaze, Koba LaD",12325944
"100 Blaze, RK",624238
"102 Boyz, 65Goonz, Chapo102, Addikt102",415654
"102 Boyz, Chapo102, Stacks102, Addikt102",183891
"10an, Ant Wan",196909
"16yrold, KILLY",618700
"187 Strassenbande, Bonez MC",1162741
"187 Strassenbande, Bonez MC, Gzuz",17019296
"187 Strassenbande, Bonez MC, LX, Gzuz",1004501
"187 Strassenbande, Bonez MC, RAF Camora, Gzuz, Maxwell",1764673
"187 Strassenbande, Gzuz, Bonez MC",1662242
"187 Strassenbande, Gzuz, Bonez MC, LX",5048569
"187 Strassenbande, LX",925695
"187 Strassenbande, LX, Bonez MC, Maxwell",269649
"187 Strassenbande, LX, Gzuz, Bonez MC",809923
"187 Strassenbande, LX, Maxwell",452437
"187 Strassenbande, LX, Sa4, Maxwell",1567250
"187 Strassenbande, Maxwell",809947
"187 Strassenbande, Sa4",360181
"187 Strassenbande, Sa4, Bonez MC, Gzuz",768794
"187 Strassenbande, Sa4, Gzuz, Bonez MC, LX",1375884
"1Kilo, DoisP",1147779
"1Kilo, Knust, Baviera",79740261
"1MILL, DIAMOND MQT",324795
"1MILL, FIIXD, SUNNYBONE",685120
"2 Chainz, Gucci Mane, Quavo",10299989
"2 Chainz, Travis Scott",25039945
"2 Chainz, Ty Dolla $ign, Trey Songz, Jhené Aiko",47719842
"2 Chainz, YG, Offset",3668553
"21 Savage, Metro Boomin",127061667
"21 Savage, Offset, Metro Boomin, Travis Scott",6991482
